Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
Management Accountant,Garima Interprises,3 to 8 Yrs,2.0  - 9 LPA,Kolkata,0,days,"['budget billing', 'forensic', 'senior', 'finance', 'corporate', 'administrator', 'clerk', 'invoice', 'auditor', 'financial', 'accountant', 'internal', 'controller', 'associate', 'assistant', 'analyst', 'specialist', 'admin', 'manager']"
Mis Executive,Garima Interprises,5 to 10 Yrs,2.0  - 12 LPA,Kolkata,0,days,"['business support', 'database', 'intelligence', 'mis', 'office', 'problem', 'service', 'technical', 'desk', 'management', 'analysis', 'data', 'thinking', 'analyst', 'clerk', 'reasoning', 'solving', 'analytic', 'critical', 'engineer', 'executives']"
UI/UX Design Intern,Beryl Agency,0 to 4 Yrs,,Gautam Buddha Nagar,1,day,"['Graphic design Design methodologies', 'Adobe Suite', 'HTML', 'CSS', 'JavaScript', 'Communication skills', 'UIUX design', 'Usability principles', 'Figma']"
Web Developer/ Illustrator and Animator/ Marketing Intern,Kaizan Works,0 to 3 Yrs,,All India,1,day,"['Web Development SEO', 'HTML', 'CSS', 'JavaScript', 'Python', 'Adobe Photoshop', 'Google Analytics', 'Social Media Marketing', 'Copywriting', 'Framer', 'Market Research', 'Branding', 'Content Strategy', 'Storytelling', 'Graphic Design', 'Illustration', 'Animation', 'Adobe InDesign', 'After Effects', 'Keynote', 'SEM Rush', 'Canva', 'Figma', 'AI Design Tools']"
Business Development Executive Intern,Visible Gain,0 to 3 Yrs,,Noida,0,days,"['Market Research Strategic Planning', 'Client Relationship Management', 'Networking', 'Sales', 'Marketing', 'Presentations', 'Proposals', 'Negotiation', 'Business Development', 'Communication Skills', 'Analytical Skills', 'Teamwork', 'ProblemSolving']"
Title Not specified,Dolphin Placements,5 to 10 Yrs,,Delhi,1,day,"['Leadership Data analysis', 'Logistics', 'Inventory management', 'MMS', 'Microsoft Excel', 'Social skills', 'Verbal', 'written communication', 'Brain Powder', 'Any Inventory Software', 'GRN  Stock Transfer Note', 'Inventory Management LIFO', 'FIFO  ABC Analysis', 'Par Stock Level', 'Critical Stock Level']"
Lecturer / Senior Lecturer in Computer Science,UNSW,0 to 4 Yrs,,Karnataka,1,day,"['Computer Science Cyber Security', 'Systems Engineering', 'Artificial Intelligence', 'Research', 'Teaching', 'Supervision', 'Communication', 'Interpersonal Skills', 'Networking', 'Optimisation', 'Learning Design', 'Student Equity', 'Inclusion', 'Organisational Skills']"
Remote Rust Developer,Turing,2 to 6 Yrs,,All India,0,days,"['Rust debugging', 'testing', 'profiling', 'refactoring', 'communication', 'problemsolving']"
Graphic Designer,Sensys Technologies Pvt. Ltd,2 to 6 Yrs,,All India,0,days,"['Graphic Design Layout Design', 'Illustration', 'Typography', 'Color Schemes', 'Imagery', 'Adobe Creative Suite', 'Visual Communication', 'Project Management', 'Client Communication', 'Brand Guidelines', 'Deadline Management']"
Process Associate,Styflowne finanace services,0 to 4 Yrs,,Karnataka,1,day,['Excellent English']
Senior Quality Auditor,Quest Certification (P) Ltd,5 to 9 Yrs,,Chennai,0,days,"['quality auditing quality control', 'quality assurance', 'compliance regulations', 'audit documentation', 'analytical skills', 'communication', 'industrial standards', 'attention to detail', 'reportwriting']"
Marketing Communications Executive,BuyMore,0 to 3 Yrs,,Karnataka,1,day,"['Business Development Lead Generation', 'Negotiation', 'Relationship Management', 'Problem Solving', 'Microsoft Excel']"
US Medical Billing - Night shifts - Fresher Graduates - Ahmedabad,Arise Solution Pvt Ltd,0 to 4 Yrs,,Ahmedabad,1,day,"['Good English communication skills Willingness to work in US shifts', 'Quick learner with a positive attitude', 'Prior experience in Medical Billing  RCM']"
Senior Accounts Executive,PKM Infrastructure,1 to 5 Yrs,,Madurai,1,day,"['Accounts GST', 'Tally', 'Excel', 'Balance Sheet', 'Profit  Loss']"
Customer Support- Voice Process,Startek,0 to 3 Yrs,,Karnataka,1,day,"['Customer Support Voice Process', 'Fluent in English', 'Fluent in Hindi']"
Marketing Manager - Texture Paint Industry (Female),RD Paints,2 to 6 Yrs,,Delhi,1,day,"['Product Knowledge Strategic Thinking', 'Communication', 'Analytical Skills', 'Marketing Expertise']"
Welder I/II (Solid Waste),City of Orlando Careers,3 to 7 Yrs,,Kolkata,1,day,"['Welding Fabrication', 'Repair', 'Maintenance', 'Pipe Welding', 'Metal work', 'Mild Steel', 'Shielded Metal Arc', 'Advanced Gas Metal Arc', 'Gas Tungston Arc', 'Supervisory experience']"
Customer Service Advisor (Full-time),VIBGYOR MANAGEMENT CONSULTANT,1 to 5 Yrs,,All India,1,day,['Communication skillsFluent English']
Senior Embedded Systems Engineer,CITiLIGHT,5 to 9 Yrs,,Haryana,1,day,"['Embedded C C', 'Debugging', 'Communication Protocols', 'System Design', 'RTOS', 'Data Structures  Algorithms', 'Wireless Connectivity Stacks', 'Python Scripting', 'GitVersion Control', 'Embedded Security', 'ProblemSolving', 'IoT Standards', 'CICD Pipelines']"
Quality Control (food technologist) (MALE),Arman Foodtech Private Limited,0 to 4 Yrs,,Kolkata,1,day,['QA QC']
Field Content Creator,www.experiencesol.com,2 to 6 Yrs,,Udaipur,1,day,"['Videography Video editing', 'Storytelling', 'Communication skills', 'Networking skills', 'Shortform video content creation', 'Visual appeal']"
HR Executive (Female only),Concept Management,2 to 6 Yrs,,Indore,1,day,['Familiar with Hiring Process English Communication']
BBA Lecturer,St. Joseph's Junior & Degree College,1 to 5 Yrs,,All India,1,day,"['Finance HR', 'Marketing', 'Case studies', 'Communication skills', 'Classroom management', 'Management subjects', 'Business concepts']"
Patient Sitter,San Diego Supercomputer Center,0 to 4 Yrs,,Kozhikode,1,day,"['BLS Medical Terminology', 'Spanish', 'English', 'BART', 'Bilingual']"
Customer Support Associate,jobeefie*,1 to 5 Yrs,,Noida,1,day,"['logistics BPO', 'ecomm process']"
Senior Admission Counsellor / Team Leader - Inside sales,Aimlay Pvt Ltd ( Recruitment ),1 to 5 Yrs,,Delhi,1,day,"['Inside sales Sales acumen', 'Communication skills', 'Interpersonal skills', 'Admission counseling']"
Office Staff,RK REAL ESTATE,0 to 4 Yrs,,Punjab,1,day,['English computer']
Inbound/Outbound Sales Specialist (International Process),Ocean Clicks Outsourcing Pvt Ltd,3 to 7 Yrs,,Ahmedabad,1,day,"['Networking Cold calling', 'Lead generation', 'Fluent English communication', 'Sales activities', 'CRM hygiene']"
IT Business Development Associates,Oscorm Digital PVT LTD,1 to 5 Yrs,,Noida,1,day,"['Presentation Skills Lead Generation', 'Market Research', 'Strong Communication skills', 'IT sales', 'Business Development', 'Client Relationship Management']"
Frontend Developer,Exiverlabs,3 to 7 Yrs,,Punjab,1,day,"['JavaScript HTML5', 'CSS3', 'Git', 'Reactjs', 'Svelte', 'Typescript', 'Redux', 'Context API', 'Webpack', 'Babel', 'Vite']"
Oracle Fusion Finance Techno-Functional,Tekgence Inc,4 to 8 Yrs,,Pune,1,day,"['Oracle EBS AP', 'AR', 'GL', 'FA', 'PLSQL', 'BI Publisher', 'PA', 'iExpense', 'EBTax', 'Oracle FormsReports', 'Workflow Builder', 'XMLXLST']"
Network Security Engineer(TAC Engineer),Movate,2 to 8 Yrs,,Hyderabad,1,day,"['GRE Firewall', 'IDSIPS', 'HTTP', 'SMTP', 'FTP', 'DNS', 'DHCP', 'Ping', 'Traceroute', 'Wireshark', 'fiddler', 'LDAP', 'SAML', 'Linux', 'Unix', 'reverse proxy', 'Network Security SSLTLS', 'VPNs IPsec', 'MTR', 'tcp dump', '2FA', 'MFA', 'Web proxy', 'transparent proxy', 'Explicit proxy', 'PAC files']"
Process Coordinator,"Ganges Internationale Pvt Ltd, Chennai",0 to 5 Yrs,,Chennai,1,day,['MS ExcelGoogle sheet']
Global Marketing Manager,"CARTA MARKETING FIRM(former Zucks,ATRAC)",3 to 7 Yrs,,All India,1,day,"['Word Excel', 'PowerPoint', 'SEO']"
Information Security Analyst,"Transworld Systems, Inc.",3 to 7 Yrs,,Karnataka,1,day,"['Security Monitoring Vulnerability Assessment', 'Risk Management', 'Compliance', 'Regulatory Requirements', 'Security Awareness', 'Training', 'Policy Development', 'Incident Response', 'Security Infrastructure Management', 'Enforcement']"
Restaurant/Bar Manager,Hustyn Hotel,2 to 6 Yrs,,All India,1,day,"['Hospitality Hotel Management', 'Customer Service', 'Inventory Management', 'Sales Management']"
Patisserie Chef,Sodexo,2 to 6 Yrs,,All India,1,day,"['baking food quality', 'product development', 'Patisserie Chef', 'pastry', 'recipes', 'Food Hygiene']"
Surveyor,Technology Next,0 to 4 Yrs,,Basti,1,day,"['Surveying Data Collection', 'Data Validation', 'Excel', 'MIS', 'Communication Skills', 'Digital Tools']"
Python Fresher,The Brihaspati Infotech Pvt Ltd.,0 to 4 Yrs,,Punjab,1,day,"['Python HTML', 'CSS', 'Bootstrap', 'Django']"
Junior iOS Developer,CoderKube Technologies,1 to 5 Yrs,,Surat,1,day,"['Cocoa Touch Core Data', 'Core Animation', 'Core Graphics', 'APIs', 'Swift', 'Mobile development life cycle', 'Development of IOS applications', 'ObjectiveC', 'Core Attributed Text', 'Thirdparty libraries', 'MVC ModelViewController', 'Apple Delegate methods']"
Account Receivable Executive,myndsolution,2 to 6 Yrs,,Haryana,1,day,"['Accounts Receivable TDS', 'GST', 'Excel', 'Vlookup', 'Pivot table']"
"Data Processing Systems Analyst II, III, IV, V",Hawaii State Department of Education,0 to 4 Yrs,,All India,1,day,"['computer systems analysis systems design', 'systems analysis', 'flow charts', 'electronic data processing', 'stored computer programming', 'teleprocessing', 'data base management systems', 'functional block diagrams']"
Website Project Manager,Capsicum Mediaworks,0 to 3 Yrs,,Maharashtra,1,day,"['Project Management Digital Marketing', 'Web Technologies', 'User Experience', 'Performance Optimization', 'Client Communication', 'Quality Control', 'Website Testing', 'Stakeholder Management', 'Communication', 'Team Leadership', 'Organizational Skills', 'Technology Industry Knowledge', 'CMS Platforms', 'Project Management Methodologies', 'Task Allocation', 'Documentation Management', 'Project Efficiency Improvement', 'Bug Resolution', 'Security Best Practices', 'Web Accessibility Standards', 'GDPR Guidelines']"
Hospital Sales | Marketing,Medicover Hospitals,2 to 6 Yrs,,All India,1,day,"['Trade Sales Corporate Sales', 'Sales', 'Marketing', 'Business Development', 'Neighborhood sales', 'Hospital Experience', 'Pharma Experience']"
Placement Executive (Intern to Full-Time),StarAgile,0 to 4 Yrs,,Karnataka,1,day,"['Strong communication skillsWillingness to learn', 'Targetfocused mindset']"
Frontend Developer (AngularJS),Capital Placement Services,1 to 5 Yrs,,Haryana,1,day,"['Angular Js HTML', 'CSS', 'Javascript']"
E-Commerce Operations Executive,ethnic zuri clothing,0 to 4 Yrs,,Kochi,1,day,"['Inventory Management Coordination', 'Customer Communication', 'Order Fulfillment', 'ECommerce Operations', 'Odoo platform', 'Stock Monitoring', 'Technical Issue Reporting']"
ERP Executive,Deepak International Limited,3 to 7 Yrs,,Ludhiana,1,day,"['ERP Navision', 'Business Central', 'Social Media Handling', 'Third Party Followup', 'Mails Configuration', 'Software Related Reports']"
Design Engineer,DIRAA HR SERVICES Hiring For design engineering,0 to 3 Yrs,1.5  - 6 LPA,Coimbatore,1,day,"['solid works autocad', 'computational fluid dynamics', 'computer aided engineering', 'finite element analysis']"
Employee for Calling and Tech Support,Bhoomi Automobiles,1 to 5 Yrs,,Saharanpur,1,day,"['Prior experience in the automobile industry Strong problemsolving skills', 'Excellent communication skills', 'Good knowledge of technical support tools', 'software', 'Degree in Graduation']"
Female Accountant Trainee,Sruthi HR Solutions,0 to 3 Yrs,,Chennai,1,day,"['Accounts Tally', 'Bank reconciliations', 'MsExcel']"
Receptionist(Female),Manufacturing Insutry,1 to 5 Yrs,,Ahmedabad,1,day,"['Communication Skills Customer Service', 'Administrative Skills', 'Organizational Skills']"
Diploma Holder,morya hr solution,3 to 7 Yrs,,Pune,1,day,"['CNC machines PLCs', 'ISO standards', 'lean manufacturing', 'CAD software']"
Operations - Intern,upGrad International,0 to 4 Yrs,,Maharashtra,1,day,"['HubSpot MS Office', 'User experience', 'Collaterals', 'Design support', 'Grammar checks', 'Information audits', 'Program launches', 'Producttech queries', 'Stakeholder communication']"
SEO & Paid Marketing Specialist,Brototype,3 to 7 Yrs,,Kochi,1,day,"['SEO Keyword Research', 'Competitor Analysis', 'HTML', 'CSS', 'Paid Marketing', 'Answer Engine Optimization AEO', 'Large Language Model Optimization LLMO', 'Schema Markup', 'GA4', 'GSC', 'Ahrefs', 'SEMrush']"
Software Development,REBIRTH WEBONETIX,0 to 3 Yrs,,Gujarat,1,day,"['user interface design web design', 'web development', 'communication', 'problem solving', 'software maintenance']"
Sr Graphic Designer,Navalt,2 to 6 Yrs,,Kochi,1,day,"['Adobe Creative Suite Photoshop', 'Illustrator', 'InDesign', 'After Effects', 'Blender', '3DS Max', 'Unreal Engine', 'Typography', 'Project Management', 'Premiere Pro', 'Design Principles', 'Colour Theory', 'Visual Composition']"
International Sales Executive - Freshers / Experienced,Ascentive Global,0 to 4 Yrs,,Haryana,1,day,"['CRM Management Market Research', 'Outbound Sales Calling', 'Product Pitching', 'EndtoEnd Sales', 'Followups  Negotiation', 'Excellent English Communication', 'TechOriented Mindset', 'Proactive  TargetDriven', 'Adaptable Learner']"
Area Assistant Manager/ Area Manager,Wenwomen Entrepreneur Network,4 to 8 Yrs,,Rajasthan,1,day,"['Wealth Management Financial Planning', 'Wealth Sales']"
Admissions Counselor,Jinta's Learning Solutions Pvt. Ltd.,1 to 5 Yrs,,Kannur,1,day,"['Strong communication skillsFluent in English', 'Fluent in Malayalam', 'Speaking Tamil', 'Persuasion skills']"
Business Development Officer,VIHU,0 to 4 Yrs,,Uttar Pradesh,1,day,"['Negotiation Interpersonal skills', 'Adaptability', 'Teamwork', 'Integrity', 'Strong communication', 'Basic knowledge of Microsoft Office Suite', 'CRM software']"
Home Cook Indian & South Indian,ABP Empower,2 to 10 Yrs,,Panchkula,1,day,"['CookingCook', 'Home Cook', 'House Cook', 'Indian Cook', 'South Indian Cook']"
Customer Support/CCE,Capital Placement Services,0 to 5 Yrs,,Navi Mumbai,1,day,"['CCE Sales Management', 'Customer Support', 'CRM', 'CCE For Logistics', 'Lead Generator', 'Customer Relationship Executive']"
Marketing and Creative Strategist Intern,Tutedude,1 to 5 Yrs,,Haryana,1,day,"['Creative Strategy Scriptwriting', 'Content Marketing', 'Market Research', 'Leadership', 'Collaboration', 'Campaign Management', 'Communication', 'Presentation', 'Storytelling', 'Project Management', 'Performance Marketing', 'Analytical Thinking']"
Project Engineer (Solar),Affable Jobs,2 to 6 Yrs,,Kochi,1,day,"['Project Management Solar Projects', 'Material Management', 'People Management', 'Client communications']"
Van Sales Representative-Germa,RAKESH MARBLE & GRANITE,2 to 6 Yrs,,All India,1,day,"['marketing communication', 'building materials', 'van supply sales', 'sanitaryware division']"
Business Development Manager,SAVVI SALES AND SERVICE PVT.LTD.,4 to 8 Yrs,,Panipat,1,day,"['Business Development Sales', 'US Staffing', 'Recruitment', 'Client Relationship Management', 'Market Research', 'Communication Skills', 'Negotiation Skills']"
System Engineer,Flipkart,2 to 6 Yrs,,Haryana,1,day,"['System Administration Networking', 'Troubleshooting', 'Scripting', 'Virtualization']"
Digital Marketing Intern - Content Marketing,Digi Sidekick,0 to 4 Yrs,,Noida,1,day,"['Adobe Illustrator Photoshop', 'Indesign']"
Software Testing Thane,QuickXpert Infotech,1 to 5 Yrs,,Thane,1,day,"['Manual Testing Automation Testing', 'Core Java', 'Selenium']"
Bahasa Language Legal Document Reviewers,DATAmundi,0 to 4 Yrs,,Karnataka,1,day,"['TranslationBahasa Review', 'Legal document review', 'Legal domain']"
Banca Sales,TekPillar,1 to 5 Yrs,,Pune,1,day,"['Interpersonal skills Relationship building', 'Sales', 'Customer service', 'Product knowledge', 'Good communication']"
Digital Marketing Executive,RecruitFynd,0 to 3 Yrs,,Uttar Pradesh,1,day,"['SEO Social Media Marketing', 'HTML', 'Digital Ad Campaigns']"
Quality Line engineer,SR Group,2 to 6 Yrs,,Ludhiana,1,day,"['5S Kaizen', 'MS Office', 'set up reports', 'Hourly Inspection Reports', 'Daily Rejection Analysis', 'Problems Solving Tools', 'measuring instruments', 'Drawing Reading']"
Sales And Marketing Intern,Firefly,0 to 4 Yrs,,Pune,1,day,"['Interpersonal skills Social media', 'Microsoft Office', 'Excellent communication', 'Cold outreach', 'Google Workspace', 'Entrepreneurial spirit']"
3D Modeler,Gold Art India,0 to 4 Yrs,,Maharashtra,1,day,"['Maya 3D Max', 'Cinema 4D', 'Photoshop', 'ZBrush', 'Animation', 'Graphic Design']"
Counsellor/Program coordinator Male Sexual Health,BHANDARI HOSPITAL AND RESEARCH CENTER,2 to 6 Yrs,,All India,1,day,"['Psychology Clinical Psychology', 'Applied Psychology', 'English', 'Communication Skills', 'Interpersonal Skills', 'Counselling Psychology']"
NURSING COORDINATOR & CLASS COORDINATOR,DELHI ACADEMY OF MEDICAL SCIENCE PVT LTD,1 to 5 Yrs,,Delhi,1,day,"['Customer service Interpersonal skills', 'Supervise', 'Coordinate', 'Develop care plans', 'Manage classes', 'Promote educational programs', 'Address student concerns', 'Plan', 'execute workshops', 'Monitor', 'evaluate classes', 'Problemsolving abilities', 'Familiarity with educational systems']"
Site Supervisor,Jobman by Shunya Tattva,2 to 6 Yrs,,Maharashtra,1,day,"['Technical knowledge of construction work Able to read site drawings', 'plans', 'Good communication', 'team handling skills']"
Estimation Engineer - Fresher,Homworks(Prominance),0 to 4 Yrs,,Coimbatore,1,day,"['Lighting Design Estimation', 'AutoCAD', 'Dialux']"
Senior Process Operator,VR manpower solutions,4 to 8 Yrs,,Tiruppur,1,day,"['Process Industry Factory', 'English', 'Process Knowledge', 'Handle Operators', 'Flexible Shifts', 'Computer Knowledge']"
BD Sales -Operation,4 bell technology,5 to 9 Yrs,,Haryana,1,day,"['Operations Management Performance Management', 'Team Leadership', 'Process Improvement', 'Data Analysis', 'Stakeholder Management', 'Revenue Growth', 'ProblemSolving']"
Social Media & Creator Deals Associate,The HiddenBoard Consulting,2 to 6 Yrs,,Pune,1,day,"['Social Media Negotiation', 'Database Management', 'Influencer Outreach', 'Creator Partnerships', 'Content Rights Management']"
Student Support Executive,EDUBEX,0 to 4 Yrs,,Thiruvananthapuram,1,day,"['Student counseling Telesales', 'Customer service', 'Communication skills', 'English', 'Malayalam']"
Centralized Exchange Algorithmic Trading,String Metaverse,3 to 7 Yrs,,Hyderabad,1,day,"['Python C', 'Java', 'FIX', 'REST', 'Data feeds', 'Market microstructure', 'Risk management', 'Arbitrage', 'Mathematical modeling', 'WebSocket APIs', 'Highperformance computing', 'Order book dynamics', 'Algorithmic trading strategies', 'Execution logic', 'HFT', 'Algo trading', 'Backtest logic']"
Executive - Telecalling/Telesales,Desirous Global Consulting,0 to 5 Yrs,,Chennai,1,day,"['Sales Telecalling', 'Good spoken English skills']"
Data Visualization Engineer,WHR Global Consulting,5 to 9 Yrs,,Karnataka,1,day,"['Data modelingData Virtualization Engineer', 'Denodo platform', 'SQLPLSQL', 'ETL processes', 'Data warehousing concepts']"
Sales Intern  Real Estate,Saya Nxt LLp,0 to 4 Yrs,,All India,1,day,"['Sales Lead Generation', 'Customer Engagement', 'Business Development', 'Communication Skills', 'Interpersonal Skills', 'MS Office', 'CRM Tools']"
Electrical & Instrumentation Engineer - Design & Engineering,Chembond Water Technologies Limited,4 to 8 Yrs,,Vadodara,1,day,"['Water Treatment Detail Engineering', 'Project Engineering', 'Design Engineer', 'Handling Design Software 2D']"
Senior Ruby on Rails Developer,Saeloun,3 to 7 Yrs,,Pune,1,day,"['Ruby on RailsReactJS', 'React Native']"
Product Demonstration Specialist,Anvenssa AI,2 to 24 Yrs,,All India,1,day,"['Customer support Training', 'Excellent spoken', 'written English', 'Strong presentation', 'interpersonal skills', 'Sales demos', 'Clientfacing experience', 'Technical background']"
Social Media Content Creator,Maiora Diamonds LLP,1 to 5 Yrs,,Surat,1,day,"['Content Creation Photo Editing', 'Video Editing', 'Social Media', 'Trend Analysis', 'Digital Content Management', 'Event Coverage']"
Research Analyst Intern,Rahane Fintech Private Limited,1 to 5 Yrs,,Noida,1,day,"['Financial Research Market Research', 'Investment Analysis', 'Financial Modeling', 'Excel', 'Trading', 'Equity Research', 'Macroeconomics', 'Portfolio Building', 'Stock Markets']"
Customer Service Rep,CentoTech Pvt Ltd,0 to 4 Yrs,,All India,1,day,['Customer ServiceHindi Language']
Sales - Intern,Abhi Loans,1 to 5 Yrs,,Delhi,1,day,"['MS Excel MS Office', 'Email', 'Social Media', 'Interpersonal skills', 'Positive attitude', 'Good communication skills', 'Financial products knowledge', 'Stock markets knowledge', 'Mutual funds knowledge']"
Mechatronics Engineer,Coprotect Venture,0 to 4 Yrs,,Gandhinagar,1,day,"['Embedded Systems Motor Control', 'Sensors', 'Actuators', 'ROS', 'SLAM', 'Computer Vision', 'Python', 'Remote Monitoring', 'Electronics Integration', 'Autonomous Navigation', 'Control Systems', 'CC', 'PCB Prototyping', 'Obstacle Detection', 'AI Perception', 'Realtime Systems']"
"US Shift , Recruitment in Kolkata, West Bengal",Adeeba e Services Pvt. Ltd.,0 to 3 Yrs,,Kolkata,1,day,"['Customer Service Technical Support', 'Inbound Voice Process', 'Router', 'Antivirus', 'Printer', 'Sales Skills']"
MBA Fresher (Male) - Banking Forex Company,Capital Placement Services,0 to 5 Yrs,,Haryana,1,day,"['Marketing Executive Marketing Coordinator', 'Branch Sales Manager', 'Sales Executive', 'Field Executive', 'Field Officer']"
Machine Learning & Workflow Automation Trainer,Oxford Software Institute,2 to 6 Yrs,,All India,1,day,"['Machine Learning Teaching', 'AI tools', 'Simplification of complex topics']"
HR Executive,PCM Worldwide Flights Pvt. Ltd.,0 to 3 Yrs,,All India,1,day,"['HR Recruitment', 'Communication', 'People Management', 'Knowledge of recruitment portals', 'Sourcing techniques']"
"Factory Supervisor For Pharma/Chemical Company in IMT Manesar, Gurgaon",Capital Placement Services,1 to 5 Yrs,,Haryana,1,day,"['Pharmaceutical Production Sales', 'Quality', 'Pharma']"
Senior Consultant Data Science,TTEC Digital,4 to 8 Yrs,,Hyderabad,1,day,"['Python SQL', 'MS office suite', 'Azure', 'GCP', 'AWS', 'MLAI solutions', 'NLP projects', 'Pandas', 'PySpark', 'Databricks']"
US Accounting - Bookkeeping,Rudra talent services,2 to 6 Yrs,,Ahmedabad,1,day,"['Bookkeeping Journal entries', 'AR management', 'Financial statements', 'Reports', 'Accounting software', 'QuickBooks', 'Xero', 'Financial records', 'Ledgers', 'AP management', 'Bank reconciliations', 'Monthend closing', 'Yearend closing', 'NetSuite']"
3d Rigging Artist,VSP - Black Diamond Media & Production Pvt. Ltd.,2 to 6 Yrs,,Delhi,1,day,"['Maya Rigging', 'Anatomy', 'Deformation', 'Skinning', 'Blendshapes', 'Constraints', 'Rigging Pipelines']"
Marketing Communications Intern,Gruve Communications Agency LLP,0 to 4 Yrs,,Hyderabad,1,day,"['Marketing Branding', 'Storytelling', 'Communication', 'Digital Strategy', 'Content Creation', 'Research', 'Presentations', 'Client Servicing', 'Project Management', 'Collaboration']"
Databricks Developer,Norconsulting Global Recruitment,5 to 9 Yrs,,Chennai,1,day,"['Data Science Data Engineering', 'Cloud Computing', 'Collaboration', 'Communication', 'Problem Solving', 'Adaptability', 'Databricks', 'Data Pipelines']"
Quality Analyst,Ads247365 India Pvt Ltd,2 to 6 Yrs,,Karnataka,1,day,"['Quality Assurance Healthcare Operations', 'Quality Control', 'SOPs', 'Analytical Skills', 'Organizational Skills']"
Lead Piping Manager,Not applicable1,2 to 6 Yrs,,Pune,1,day,"['Lathe Milling', 'EDM', 'Laser welding', 'Polishing', 'Mold Maintenance', 'Machining of Mold', 'Design  Autocad', 'Design  Catia', 'Design  Solid work', 'Mold Flow analysis', 'Hot runner mold', 'Designdrawing', 'Ejector pins', 'Sleeves', 'Locating Ring', 'Sprue bush', 'Nozzles']"
Audit & Compliance Executive,Loansi,0 to 3 Yrs,,Delhi,1,day,"['Compliance KYC', 'AML', 'Gold Loan Audit', 'RBI guidelines']"
Laptop Chip Level Engineer,24Bit System,2 to 6 Yrs,,Noida,1,day,"['Laptops Multimeter', 'Desktop Motherboard Components', 'Chip Level Laptop Repairing', 'Replacing', 'Repairing Of Components', 'BIOS Flashing']"
Konkani and Mizo Translator,Ewan Business Solutions,1 to 5 Yrs,,All India,1,day,['Konkani Goan Konkani Mizo']
Part Time Front-End Developer (React + React Native),IAmMaturity,1 to 5 Yrs,,All India,1,day,"['JavaScript HTML5', 'CSS3', 'REST API', 'Reactjs', 'React Native', 'Redux', 'Context API', 'TailwindCSS', 'Framer Motion']"
Business Continuity Manager,Antal International,4 to 8 Yrs,,Pune,1,day,"['Information Security IT Infrastructure', 'Network Architecture', 'Business Continuity  Resilience management', 'Cloud technologies']"
Software Trainee-Experienced,NEWT GLOBAL INDIA PRIVATE LIMITED,0 to 4 Yrs,,Chennai,1,day,"['GraduatePostGraduate Trainee', 'High Attitude', 'High IQ', 'Good Communication Skills']"
Graduate Engineer Trainee (GET),Amdocs Development Centre India LLP,1 to 5 Yrs,,Haryana,1,day,"['JavaExcellent communication skills', 'CC']"
Healthcare Administrator,Nationize Visas,4 to 8 Yrs,,Karnataka,1,day,"['Customer Service Budgeting', 'Financial Management', 'Training', 'Staff Development', 'Leadership', 'Excellent Communication', 'Home Care Services', 'Organizational Skills']"
International Non Voice,Dreammithra Pvt Limited,0 to 4 Yrs,,Karnataka,1,day,"['Customer service Customer satisfaction', 'Good communication in English', 'Problemsolving', 'Rapport building']"
Assistant Project Manager (Supervision-Interior Design),Asst Manager HR,2 to 6 Yrs,,Karnataka,1,day,['Site Management Team Management']
Client Relationship Trainee (Only For Women),Triedge Solutions,0 to 4 Yrs,,Kota,1,day,"['Interpersonal skills Client service', 'Client relationship management', 'Strong communication']"
US IT Recruitment Associate,Yuvii Consultancy Private Limited,1 to 5 Yrs,,Ahmedabad,1,day,"['Pipeline management Placement coordination', 'Market Research', 'Communication', 'Reporting', 'Candidate identification', 'Engagement', 'relationship management']"
Project Manager - Operations,Drinkprime,3 to 7 Yrs,,Karnataka,1,day,"['consulting analytics', 'project management', 'Excel']"
Product Manager I,Keywords Studios,3 to 7 Yrs,,Pune,1,day,"['Product Management Customer Service', 'Software Product Management', 'Agile Methodologies', 'Problem Solving', 'Strategic Planning', 'Integrity', 'Collaboration', 'Customer Discovery', 'UserCentered Design', 'OKRbased Requirements', 'Product Roadmap', 'Market Expansion Strategy', 'Help Desk Processes', 'UX Research', 'DataDriven Decision Making']"
Duty Doctor-MBBS - Female,Dr. Aravind's IVF Fertility & Pregnancy Centre,0 to 3 Yrs,,All India,1,day,"['Patient careHealth goals', 'Medical knowledge', 'Counselling skills', 'Emergency care', 'Patient record']"
Customer Support - Dahej,MEL Systems & Services (MELSS),3 to 7 Yrs,,Gujarat,1,day,"['SCADA Customer Communication', 'MES', 'System Study', 'Proposal Preparation', 'PLC Configuration', 'Ladder Logic Development', 'HMI Software Development', 'Installation', 'Commissioning', 'Control Systems']"
Business Development Manager (BDM),Seed Media,1 to 5 Yrs,,Bhopal,1,day,"['Business Development Sales', 'Client Servicing', 'Digital Marketing', 'Influencer Marketing', 'Social Media', 'Relationship Building', 'Content Trends']"
Branch Head,Dr. Aravind's IVF Fertility & Pregnancy Centre,2 to 6 Yrs,,All India,1,day,"['Customer Service Quality Management', 'People Management', 'Change Management', 'Budget Management', 'Process Adherence']"
Dermatologist,Dr Prabhakar Hair Transplant Clinic,2 to 6 Yrs,,Coimbatore,1,day,"['Dermatology Cosmetology', 'Communication Skills', 'Cosmetic Procedures', 'Hair Transplant Experience']"
