Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
HR Executive,Microgreen Technologies Pvt Ltd,1 to 5 Yrs,,Karnataka,1,month,"['Communication Skills Talent Sourcing', 'Interview Coordination', 'Onboarding', 'Knowledge of HR Processes', 'Offer Negotiation', 'Sourcing Strategies']"
Marketing Executive,Life Solutions Company,4 to 8 Yrs,,Ludhiana,1,month,"['Marketing Sales', 'Communication', 'Negotiation', 'Presentation', 'MS Office', 'Packaging industry', 'CRM software']"
Customer Representative,FREAKINS,1 to 5 Yrs,,Maharashtra,1,month,"['Customer Satisfaction Customer Service', 'Customer Support', 'Customer Experience', 'Strong communication abilities', 'Ability to multitask', 'Knowledge of fashion industry trends']"
Video editor internship,SVP Creatives,0 to 4 Yrs,,Ahmedabad,1,month,['after effect premiere pro']
STEM Writer (Physics),Marcto,0 to 4 Yrs,,All India,1,month,"['Communication skillsStrong writing', 'Research skills', 'Physics principles', 'STEM writing', 'SEO optimization', 'Collaboration skills']"
Training Officer/Assistant Training Officer,Capital Placement Services,1 to 6 Yrs,,Haryana,1,month,"['DET Production', 'Diploma', 'QC', 'Training Officer', 'Mechanical Engineer', 'Diploma Trainee Engineer', 'Diploma Engineer', 'Quality Assurance Analyst']"
IT Customer Support Analyst (L2 Support),Trusted Tech Solutions,2 to 6 Yrs,,All India,1,month,"['IT skills troubleshooting', 'ServiceNow', 'Jira', 'customer support', 'communication skills', 'MS Office', 'ticketing system']"
Sales and Marketing Assistant,ARM OF INDIA GROUP COMPANY,3 to 7 Yrs,,Uttar Pradesh,1,month,"['Marketing Digital Marketing', 'Branding', 'Market Analysis', 'Communication Skills', 'Interpersonal Skills', 'Event Organization']"
IT Technician,Maratha Mandir's Babasaheb Gawde Institute of Management Studies,2 to 6 Yrs,,Maharashtra,1,month,"['Troubleshooting Computer Hardware', 'Software', 'Network Systems', 'Technical Support', 'Network Infrastructure', 'Data Recovery', 'IT Solutions', 'Documentation', 'Compliance', 'Security Protocols', 'Installing', 'Maintaining', 'System Updates', 'Data Protection', 'IT Technologies']"
Pre Sales Associate,CloudBird Digital,0 to 4 Yrs,,Noida,1,month,"['Cold Calling Sales Support', 'Communication Skills', 'Interpersonal Skills', 'Customer Inquiries', 'Organizational Skills']"
Supply Chain Analyst,HR Potential Search,3 to 7 Yrs,,Haryana,1,month,"['SAP S4 HANA SAP MDM Master data mgt', 'SAP R3 system', 'Good analyticalexcel skills', 'Experience in Advance planning systems']"
Chemist,T C S Gandhidham,2 to 6 Yrs,,Nagpur,1,month,"['VM FC', 'IM', 'Ash', 'Proximate Analysis', 'EM at 6040', 'GCV by Bome Calorimeter', 'Total moisture calculations', 'Total sulfur calculations', 'Lithological study', 'Coal Analysis', 'Total Moisture', 'GCV', 'Equilibrated moisture', 'Sulfur analysis']"
Junior Administrator,HopeStone,0 to 4 Yrs,,Maharashtra,1,month,"['MS Office Google Suite', 'Strong communication', 'Organizational skills']"
Accounts Manager,Rajgarhia Group,3 to 7 Yrs,,Howrah,1,month,"['Financial Management Budgeting', 'Tax Compliance', 'Auditing', 'Financial Planning', 'Cost Control', 'Pricing Strategies', 'Profitability Analysis', 'Internal Controls', 'Accounting Software', 'Tally', 'SAP', 'QuickBooks', 'Taxation', 'GST', 'TDS', 'Income Tax', 'MS Excel', 'Analytical Skills', 'Leadership Skills', 'Communication Skills', 'Interpersonal Skills', 'Accounting Regulations', 'Financial Insights', 'Financial Statements Analysis', 'GST Filings', 'Accounting Policies', 'ProblemSolving Skills']"
Retail Operations Manager,The Yellow Dwelling,3 to 7 Yrs,,Karnataka,1,month,"['English Kannada', 'Team management', 'Offline store operations', 'Sales followups', 'Achieve sales targets', 'Store audits', 'Customer visits']"
Background Verification Specialist,Minteworld,0 to 4 Yrs,,Karnataka,1,month,"['Fluency in EnglishExcellent Communication Skills', 'Graduates  Under Graduates can apply', 'Flexible with Shifts', 'Immediate Joiners Required', 'Looking Only For Freshers']"
Lead Banking Support Specialist,For Client,3 to 7 Yrs,,Hyderabad,1,month,"['Team management  supervision', 'Strong understanding of banking processes', 'compliance', 'Excellent communication in English', 'Hindi', 'Experience with ticketing systems Jira', 'ServiceNow', 'CRM tools']"
Sr Data Engineer,Talent Basket,4 to 8 Yrs,,Thiruvananthapuram,1,month,"['SqlDatabricks', 'Pyspark']"
Accountant/Administrator,Armadio Gallery,2 to 6 Yrs,,Kozhikode,1,month,"['ClientAttend Customer', 'Architects visiting showroom', 'Prepare estimations', 'Recording of purchases', 'Generate sales invoices', 'File GST', 'Update statutory matters', 'Periodic reconciliation of ledger accounts', 'Preparation of monthly MIS report']"
Computer Operator,DealsCorner,1 to 5 Yrs,,Ahmedabad,1,month,"['typing speed data entry', 'English writing', 'punctual', 'team player']"
Store Sales - Luxury Fashion,Code to Couture,2 to 6 Yrs,,Delhi,1,month,"['customer service inventory management', 'luxury fashion', 'sales skills', 'styling advice', 'fashion trends']"
Urgent hiring for Lighting Designer,SR Expert Services LLP,2 to 6 Yrs,3.0  - 12 LPA,Delhi,1,month,"['dialux lighting', 'autocad', 'fades', 'photoshop', '3d', 'adobe illustrator', 'lighting design']"
Fresher Mechanical Production Engineer (Wagholi),QUANTASTRAT INTEGRATORS PRIVATE LIMITED,0 to 1 Yr,1.0  - 2.5 LPA,Pune,1,month,"['spm production', 'mechanical', 'planning', 'manufacturing', 'fresher', 'engineer', 'machines']"
Hr Generalist,Power Jobs,0 to 4 Yrs,,Noida,1,month,"['hr hrm', 'recruiter']"
Erp Implementation Executive,Hiring Squad Hiring For Flexibiz,0 to 1 Yr,1.5  - 3.0 LPA,Noida,1,month,"['project coordination accounts', 'crm', 'accounting software', 'client coordination', 'erp implementation', 'finance']"
Software Engineer (Oracle CX),Best Infosystems Ltd,3 to 5 Yrs,20  - 28 LPA,Noida,1,month,"['software cx', 'engineering', 'oracle', 'engineer']"
